aṃśaka,ikā,
aṃśabhūta,,
aṃśahara,,
aṃsatrakośa,,
aṃsabhārika,ī,
aṃsala,,
aṃsebhārika,ī,
aṃsya,,
aṃhura,,
aṃholiṅga,,
akaca,,
akaṭuka,,
akaṭhora,,
akaṇaka,,
akaṇṭaka,,
akaṇṭha,,
akatthana,,
akathya,,
akampita,,
akampya,,
akaraṇīya,,
akara,,
akaruṇa,,
akarkaśa,,
akarṇaka,,
akarṇadhāra,,
akarṇīya,,
akarṇya,,
akarmaka,,
akarmaṇya,,
akarmānvita,,
akalaṅka,,
akala,,
akalita,,
akalkana,,
akalkala,,
akalka,,
akalpita,,
akalmāṣa,ī,
akalyāṇa,,
akavaca,,
akava,,
akāṇḍapātajāta,,
akāṇḍa,,
akātara,,
akāmakarśana,,
akāmahata,,
akāya,,
akāraṇa,,
akāraṇotpanna,,
akārṇaveṣṭakika,ī,
akārya,,
akālaja,,
akālajāta,,
akālasaha,,
akāla,,
akālotpanna,,
akālya,,
akiṃcitkara,,
akiñcana,,
akilina,,
akilviṣa,,
akīrtikara,,
akuṇṭha,,
akuṇṭhita,,
akuṇḍala,,
akutaścidbhaya,,
akutūhala,,
akutobhaya,,
akutracabhaya,,
akutsita,,
akulaka,,
akula,,
akulīna,,
akuśīda,,
akusīda,,
akusuma,,
akūjana,,
akūja,,
akūpāra,,
akṛtakārya,,
akṛtakṛtya,,
akṛtacūḍa,,
akṛtajña,,
akṛtaśmaśāna,,
akṛtārtha,,
akṛtāstra,,
akṛtta,,
akṛtya,,
akṛpaṇa,,
akṛpa,,
akṛmiparisṛpta,,
akṛśa,,
akṛśāśva,,
akṛṣṭapacya,,
akṛṣṭa,,
aketana,,
akopana,,
akopya,,
akovida,,
akta,,
aknopana,,
akrandita,,
akrama,,
akravihasta,,
akravyāda,,
akra,,
akrānta,,
akriya,,
akrīta,,
akrūra,,
akrodhana,,
akrodhamaya,,
akrodha,,
akliṣṭavrata,,
akliṣṭa,,
aklība,,
akledya,,
akṣakāma,,
akṣakuśala,,
akṣaṇa,,
akṣata,,
akṣatra,,
akṣadrugdha,,
akṣadhara,,
akṣapriya,,
akṣayaguṇa,,
akṣayya,,
akṣaraśūnya,,
akṣara,,
akṣavṛtta,,
akṣaśīla,,
akṣaśauṇḍa,,
akṣahṛdayajña,,
akṣānta,,
akṣāramadyamāṃsāda,,
akṣāralavaṇa,,
akṣāra,,
akṣigata,,
akṣitavya,,
akṣita,,
akṣiba,,
akṣīṇa,,
akṣība,,
akṣīyamāṇa,,
akṣuṇṇa,,
akṣudra,,
akṣudhya,,
