aṛṇin,ī,
aṃśaka,ikā,
aṃśabhāgin,ī,
aṃśabhūta,,
aṃśahara,,
aṃśahārin,ī,
aṃśin,ī,
aṃsatrakośa,,
aṃsabhārika,ī,
aṃsala,,
aṃsebhārika,ī,
aṃsya,,
aṃhura,,
aṃholiṅga,,
akaca,,
akaṭuka,,
akaṭhora,,
akaṇaka,,
akaṇṭaka,,
akaṇṭha,,
akatthana,,
akathya,,
akampita,,
akampya,,
akaraṇīya,,
akara,,
akaruṇa,,
akarkaśa,,
akarṇaka,,
akarṇadhāra,,
akarṇīya,,
akarṇya,,
akarmaka,,
akarmaṇya,,
akarmānvita,,
akalaṅka,,
akala,,
akalita,,
akalkana,,
akalkala,,
akalka,,
akalpita,,
akalmāṣa,ī,
akalyāṇa,,
akavaca,,
akava,,
akāṇḍapātajāta,,
akāṇḍa,,
akātara,,
akāmakarśana,,
akāmahata,,
akāmin,ī,
akāya,,
akāraṇa,,
akāraṇotpanna,,
akārin,ī,
akārṇaveṣṭakika,ī,
akāryakārin,ī,
akārya,,
akālaja,,
akālajāta,,
akālasaha,,
akāla,,
akālotpanna,,
akālya,,
akiṃcitkara,,
akiñcana,,
akilina,,
akilviṣa,,
akīrtikara,,
akuṇṭha,,
akuṇṭhita,,
akuṇḍala,,
akutaścidbhaya,,
akutūhala,,
akutobhaya,,
akutracabhaya,,
akutsita,,
akulaka,,
akula,,
akulīna,,
akuśīda,,
akusīda,,
akusuma,,
akūjana,,
akūja,,
akūpāra,,
akṛcchrin,ī,
akṛtakārya,,
akṛtakṛtya,,
akṛtacūḍa,,
akṛtajña,,
akṛtaśmaśāna,,
akṛtārtha,,
akṛtāstra,,
akṛtin,ī,
akṛtta,,
akṛtyakārin,ī,
akṛtya,,
akṛpaṇa,,
akṛpa,,
akṛmiparisṛpta,,
akṛśa,,
akṛśāśva,,
akṛṣṭapacya,,
akṛṣṭa,,
aketana,,
akopana,,
akopya,,
akovida,,
akta,,
aknopana,,
akrandita,,
akrama,,
akravihasta,,
akravyāda,,
akra,,
akrānta,,
akriya,,
akrīta,,
akrūra,,
akrodhana,,
akrodhamaya,,
akrodha,,
akliṣṭakārin,ī,
akliṣṭavrata,,
akliṣṭa,,
aklība,,
akledya,,
akṣakāma,,
akṣakuśala,,
akṣaṇa,,
akṣata,,
akṣatra,,
akṣadrugdha,,
akṣadhara,,
akṣapriya,,
akṣamālin,ī,
akṣamin,ī,
akṣayaguṇa,,
akṣayin,ī,
akṣayya,,
akṣaraśūnya,,
akṣara,,
akṣavṛtta,,
akṣaśīla,,
akṣaśauṇḍa,,
akṣasūtravalayin,ī,
akṣahṛdayajña,,
akṣānta,,
akṣāramadyamāṃsāda,,
akṣāralavaṇa,,
